record_id,title,abstract,authors,year,journal,doi,url,publication_type,keywords,inclusion,rationale,evidence,exclusion_reason,overall_confidence,needs_human_review,source_record_id,apparent_duplicate
RIS_0011,"Aid for All: College Coaching, Financial Aid, and Post-secondary Persistence in Tennessee","Beginning with the high school class of 2015, Tennessee Promise will provide college coaching and last-dollar aid to every high school graduate making a seamless transition to community college. We examine the program that preceded this effort and evaluate its potential effect on college-going and college persistence. Knox Achieves originated in Knox County, Tennessee with the class of 2009. Eligibility was neither need-based nor merit-based, negating some of the application hurdles that accompany other aid vehicles. We find that program participation is strongly associated with an increased likelihood of graduating from high school and enrolling directly in college, albeit with a modestly lower chance of starting in a four-year college. The evidence suggests that aid per se is not the only lever by which Knox Achieves worked: college enrollment and college credit gains are largest among lower-income students who likely saw little to no scholarship aid from the program.","Carruthers, Celeste K.; Fox, William F.",2016,,10.1016/j.econedurev.2015.06.001,https://research.ebsco.com/plink/5bf68b84-c1d2-3b52-9138-e5bd2e7f5a9f,JOUR,"Personal Income, Wealth, and Their Distributions; State and Local Government: Health; Education; Welfare; Public Pensions; Analysis of Education; Educational Finance; Financial Aid; Higher Education; Research Institutions",No,Population is outside eligible undergraduate higher education students.,"The title or abstract focuses on doctoral, graduate, school-level, or prospective students.",Ineligible population,88,No,1571715,No
RIS_0012,Credit for Low-Income Students and Access to and Academic Performance in Higher Education in Colombia: A Regression Discontinuity Approach,"This study evaluates the impact of a national-level subsidized loan program, ACCES (Access with Quality to Higher Education), on a number of higher education outcomes (i.e., increase in enrollment rates, decrease in dropout rates, and increase in academic performance) of low-income students. The program intends to tackle Colombia's wide disparities in access to postsecondary education by socioeconomic status and by region. We use national-level data along with a regression discontinuity design (RDD) to estimate the impact of the program. We provide intent to treat and the local average treatment effect estimates of the program on enrollment and dropout rates, and on academic performance. Our RDD design takes advantage of the fact that the beneficiaries of the program are selected based on a government mandated procedure to rank individuals at the ""department"" (similar to geographic regions in the U.S.) level based on a cutoff score in their high school exit exams. The results confirm that the program has been effective in terms of increasing the potential number of low-income students at the margin who would have enrolled in college, decreasing the number of students who dropped out, and increasing their academic outcomes. Nonetheless, the effects of the credit program on enrollment exhibit the largest magnitude and with clearly positive heterogeneous impact on the poorest applicants. The results are less compelling for dropout, yet in the expected direction.","Melguizo, Tatiana; Sanchez, Fabio; Velasco, Tatiana",2016,,10.1016/j.worlddev.2015.11.018,https://research.ebsco.com/plink/5b545b9b-c0fe-3ab9-a823-57e0333a6d0a,JOUR,"Personal Income, Wealth, and Their Distributions; Analysis of Education; Educational Finance; Financial Aid; Higher Education; Research Institutions; Economic Development: Human Resources; Human Development; Income Distribution; Migration",No,Population is outside eligible undergraduate higher education students.,"The title or abstract focuses on doctoral, graduate, school-level, or prospective students.",Ineligible population,88,No,1548854,No
RIS_0013,The Costs and Benefits of Enrolling in an Academically Matched College,"In response to increased efforts to raise college completion rates through improved academic match between students and their colleges, we examine the costs and benefits to students of following such advice as well as the impact on postsecondary institutions. We analyze data from the National Postsecondary Student Aid Study, the College Board, the National Student Clearinghouse, and the Integrated Postsecondary Education Data System to estimate the impact of improved academic match on students' predicted net price and bachelor's completion probabilities. The results indicate that undermatching low-income students across the distribution of academic ability would experience a substantial boost in bachelor's degree completion probability - 13.5% points, on average - if they attended a college that better matched their academic credentials. Given this average effect and the number of undermatched low-income students who are minimally ""treated"" under our simulation, we predict that an additional 3500 low-income students per cohort would complete a bachelor's degree. We find that moving all undermatched low-income students into ""safety"" colleges would not overly burden this set of institutions, which, on average, would only need to increase the size of first-year cohorts by less than 1%. Moreover, such colleges would experience no change in average SAT scores and overall graduation rates. One estimate of the financial impact on colleges is substantial (i.e., on average, $6.5 M-7.5 M annually per cohort per institution that has a simulated net gain in enrollment) if institutions cover full tuition and fees for these additional low-income students.","Howell, Jessica S.; Pender, Matea",2016,,10.1016/j.econedurev.2015.06.008,https://research.ebsco.com/plink/324aa5b2-84c6-37cf-992a-fcad7f820de1,JOUR,"Personal Income, Wealth, and Their Distributions; Allocative Efficiency; Cost-Benefit Analysis; Analysis of Education; Educational Finance; Financial Aid; Higher Education; Research Institutions",No,No eligible post-entry financial or in-kind support intervention is identifiable.,"The title and abstract do not describe grants, bursaries, scholarships, hardship funds, waivers, or comparable direct support.",No eligible financial support intervention,82,No,1571719,No
RIS_0014,"Away, but Not Too Far from Home: The Effects of Financial Aid on University Enrolment Decisions","This paper investigates the impact of an educational programme recently introduced in the Province of Trento (North-East of Italy) aimed at fostering university enrolment of students from low-income families and at reducing inequalities in access to higher education. The programme consists in generous incentives: it targets university students from low-income families and is awarded upon both merit and demonstrated financial need. We exploit data from a survey conducted on a sample of upper secondary graduates linked to administrative records and employ a regression discontinuity design to estimate the impact of the intervention on the university enrolment decisions. We find that the programme has no significant effect on enrolment rates, but it exerts a positive effect on redirecting students already bound for university to enrol outside the place of residence.","Vergolini, Loris; Zanini, Nadir",2015,,10.1016/j.econedurev.2015.08.003,https://research.ebsco.com/plink/1c0a88a4-5178-3ded-8d09-7b1b50e9b6b6,JOUR,"Personal Income, Wealth, and Their Distributions; Equity, Justice, Inequality, and Other Normative Criteria and Measurement; Analysis of Education; Educational Finance; Financial Aid; Higher Education; Research Institutions",No,Outcomes are administrative or implementation-focused rather than eligible student outcomes.,"The abstract reports awareness, take-up, satisfaction, expenditure, or delivery outcomes only.",Ineligible outcome,82,No,1539370,No
RIS_0015,"The Impact of the Gates Millennium Scholars Program on College and Post-college Related Choices of High Ability, Low-Income Minority Students","In this paper, we analyze the impact of the Gates Millennium Scholarship Program on several outcome variables using a regression discontinuity design. We find that GMS recipients have lower college loan debt and parental contributions toward college expenses and work fewer hours during college than non-recipients. We also find that GMS recipients have higher grade point averages in their junior year of college and are more likely to aspire to a Ph.D. degree than non-recipients.","DesJardins, Stephen L.; McCall, Brian P.",2014,,10.1016/j.econedurev.2013.11.004,https://research.ebsco.com/plink/90709968-9f0b-3933-aa96-239244d2f26b,JOUR,"Analysis of Education; Educational Finance; Financial Aid; Economics of Minorities, Races, Indigenous Peoples, and Immigrants; Non-labor Discrimination",Uncertain,"Potentially eligible financial-support impact study, but population or post-entry eligibility is not fully clear from the abstract.",support: mentions scholarship; outcome: mentions grade; design: mentions regression discontinuity,Unclear population or timing,68,Yes,1429208,No
RIS_0016,"Money, Mentoring and Making Friends: The Impact of a Multidimensional Access Program on Student Performance","This study evaluates a comprehensive university access program that provides financial, academic and social support to low socioeconomic students using a natural experiment which exploits the time variation in the expansion of the program across high schools. Overall, we find positive treatment effects on first year exam performance, dropout rates, and final graduation outcomes. We find similar results for access students entering through the standard admissions system and those entering with grade concessions. This suggests that access programs can be effective at improving academic outcomes for socio-economically disadvantaged students.","Denny, Kevin; Doyle, Orla; McMullin, Patricia; O'Sullivan, Vincent",2014,,10.1016/j.econedurev.2014.03.001,https://research.ebsco.com/plink/5067fa41-1563-3a81-8dab-572df754e51d,JOUR,National Government Expenditures and Education; Analysis of Education; Educational Finance; Financial Aid,No,Intervention is not direct financial or in-kind support.,"The abstract refers to loans, financial literacy, mentoring, advising, or non-financial support rather than eligible support.",Ineligible intervention,84,No,1442201,No
RIS_0017,Challenges for higher education in the United States: The cost problem and a comparison of remedies,"The costs of attending four‐year colleges and universities in the United States have steadily increased over four decades leading to high levels of student debt and many obstacles for low‐income students. The analysis presented appraises the extent of the cost and affordability problems, debunking the sensationalistic claims that are common in mass media. It considers the sources of cost increases such as the growth of administration and the decline of state subsidies and their consequences for low‐income students, including growing income gaps in completion rates and declining enrolment in more expensive institutions. By reviewing and synthesizing the existing literature, possible remedies for the cost problem are examined. These possible remedies include cost containment strategies, the possibility that universities can pursue alternative revenue sources, performance funding policies to improve productivity, increased state investment in institutional support, and financial aid reforms. Financial aid reforms provide the most feasible solution to the cost problem. These reforms should include doubling the size of grants to low‐income students and the expansion of income‐contingent loan repayment plans.","Brint, Steven",2022,European Journal of Education,https://doi.org/10.1111/ejed.12496,https://www.proquest.com/docview/2659459188?accountid=9902&bdid=150318&_bd=qKlo79AdI%2FOOtjfFVOq9k4YkYTM%3D,JOUR,,Uncertain,"Potentially eligible support and outcome, but the title/abstract does not clearly establish a credible comparison design.",support: mentions grants; outcome: mentions completion,Unclear study design/counterfactual,62,Yes,,No
RIS_0018,Parents' financial assistance for college and black-white wealth disparity,"This study examines the roles of parents' financial assistance for college in explaining persistent Black-white wealth disparity across generations. Using the data from the Panel Study of Income Dynamics, this study runs Oaxaca-Blinder decompositions to estimate the proportion of the racial wealth disparity explained by parents' socioeconomic resources and financial assistance for college. Analyses show that racial disparity in net worth would decline significantly if Black people receive parental financial assistance for college at the same rate as their white counterparts. Parental financial assistance is also one of mechanisms through which parental economic resources maintain Black-white wealth disparity across generations. Parental assistance for college explains racial wealth disparity independently from children's educational attainment and family income: the coefficient of parental assistance is statistically significant when educational attainment and family income are controlled for. Findings call for policy interventions to reduce the impacts of parents' economic resources on financing college education to promote racial equity.","Nam, Yunju",2021,Children and Youth Services Review,https://doi.org/10.1016/j.childyouth.2021.106159,https://www.proquest.com/docview/2579413439?accountid=9902&bdid=150318&_bd=PJ2q4LpLdBzOlIGbNSR4E%2BYfkw4%3D,JOUR,,No,No eligible post-entry financial or in-kind support intervention is identifiable.,"The title and abstract do not describe grants, bursaries, scholarships, hardship funds, waivers, or comparable direct support.",No eligible financial support intervention,82,No,,No
RIS_0019,Experimentally Estimated Impacts of School Vouchers on Educational Attainments of Moderately and Severely Disadvantaged Students,"For decades, social theorists have posited—and descriptive accounts have shown—that students isolated by both social class and ethnicity suffer extreme deprivations that limit the effectiveness of equal-opportunity interventions. Even educational programs that yield positive results for moderately disadvantaged students may not prove beneficial for those who possess less of the economic, social, and cultural capital that play a critical role in improving educational outcomes. Yet evaluations of school choice and other educational interventions seldom estimate programmatic effects on severely disadvantaged students who are isolated by both ethnicity and social class. We experimentally estimate differential effects of a 1997 New York City school voucher intervention on college attainment for minority students by household income and mother’s education. Postsecondary outcomes as of 2017 come from the National Student Clearinghouse. The severely deprived did not benefit from the intervention despite substantial positive effects on college enrollments and degree attainment for the moderately disadvantaged. School choice programs and other interventions or public policies may need to pay greater attention to ensuring that families possess the requisite forms of capital—human, economic, social, and cultural—to realize their intended benefits.","Cheng, Albert; Peterson, Paul E",2021,Sociology of Education,https://doi.org/10.1177/0038040721990365,https://www.proquest.com/docview/2503130917?accountid=9902&bdid=150318&_bd=dAVGm6u9izMaRDb3d65%2F77d%2FCvs%3D,JOUR,,No,No eligible post-entry financial or in-kind support intervention is identifiable.,"The title and abstract do not describe grants, bursaries, scholarships, hardship funds, waivers, or comparable direct support.",No eligible financial support intervention,82,No,,No
RIS_0020,A Researcher–Practitioner Collaboration to Enable Replication of an Evidence-Based Financial Education and Coaching Program That Improves Health in Low-Income Single Mothers,"Financial strain is a social determinant of health (SDOH). Although public financial education helps individuals improve financial well-being, specifics are lacking on how and why effective programs work, potentially limiting their successful replication in other practice settings. In this study, researchers and practitioners cocreated the core components and theory of change of a novel financial education and coaching program, which a randomized controlled trial found was effective in significantly improving participants’ financial and health-related behaviors. A Cocreating Knowledge Translation Framework within a case study design was used at a university-affiliated nonprofit in Omaha, Nebraska, from August to December 2020. Twelve practitioner and alumni participants were purposefully sampled. An administrative records review, semi-structured interviews (n =3), survey (n = 10), and facilitated backward mapping session (n = 5) were conducted. Transcripts were coded to identify themes. Thirty-one core components were identified within program principles, design, tools, activities, and expectations of participants and coaches. Ten theory of change outcomes described participants’ pathway to change. Interventions occurred at individual, relationship, and community levels from initial engagement, through behavioral changes, to improved health-related quality of life. Activities and indicators were mapped to each outcome. The program’s intersecting and reinforcing design was key to enabling participants’ outcomes. Its theory of change described how and why the model improved financial and health behaviors. Findings suggest that other SDOH-focused organizations may benefit from researcher–practitioner collaboration to investigate their interventions’ core components and theories of change. This may enable replication, promoting downstream health benefits in new community settings.","Galvin, Danielle; Kalkowski, Julie",2023,Health Promotion Practice,https://doi.org/10.1177/15248399211065404,https://www.proquest.com/docview/2776964901?accountid=9902&bdid=150318&_bd=yCd6FCQo7ItqOwfFt6PX6myPq5s%3D,JOUR,,No,Intervention is not direct financial or in-kind support.,"The abstract refers to loans, financial literacy, mentoring, advising, or non-financial support rather than eligible support.",Ineligible intervention,84,No,,No
RIS_0021,Pluralising Scholarship: Repositioning Doctor of Nursing Practice Faculty Through Boyer's Framework: A Discursive Paper,"AimTo critically examine the structural exclusion of Doctor of Nursing Practice (DNP)‐prepared faculty from academic advancement and promotion pathways and to propose reforms grounded in Boyer's model of scholarship.BackgroundThe DNP is a practice‐focused doctorate established in the United States, distinct from the research‐oriented PhD. Similar professional doctorates in the United Kingdom and Australia share the goal of integrating clinical expertise with scholarly inquiry. Despite the rapid growth of DNP programs and the increasing recognition of applied scholarship, many universities continue to privilege traditional research metrics in academic tenure and promotion. This narrow focus on discovery‐based outputs marginalises the contributions of DNP faculty in implementation science, systems leadership, and education.DesignDiscursive position paper.Data SourcesAnalysis of policy reports, faculty promotion guidelines, AACN Essentials, and peer‐reviewed literature on doctoral education, professional doctorates, and academic equity, 2000–2025.Implications for Doctoral EducationCurrent academic evaluation systems sustain hierarchical norms that undervalue practice‐based scholarship. This misalignment restricts the career trajectories of DNP‐prepared faculty and constrains nursing's leadership in applied innovation. Reframing scholarly legitimacy through Boyer's model of discovery, integration, application, and teaching enables recognition of diverse expertise without compromising academic rigour.ConclusionFully integrating professional doctorates into academic structures requires deliberate reforms in evaluation frameworks, mentorship programs, and institutional policies. Such changes would advance equity, reflect the realities of modern nursing, and align doctoral education with the evolving needs of healthcare systems.ImpactThis paper contributes to the international discourse on the future of doctoral education by offering a practical model for inclusive faculty advancement. It also advocates adopting pluralistic definitions of scholarship to support diverse academic career paths in nursing.No Patient or Public ContributionNo patients, service users, caregivers, or members of the public were involved in the development of this discursive paper. The analysis synthesises existing scholarship, policy documents, and theoretical frameworks and does not draw on primary data requiring patient or public involvement.","Kimani, Rachel Wangari",2026,Journal of Advanced Nursing,https://doi.org/10.1111/jan.70577,https://www.proquest.com/docview/3328301659?accountid=9902&bdid=150318&_bd=44wiykbCU2r3BYeNngWlas81fY0%3D,JOUR,,No,Population is outside eligible undergraduate higher education students.,"The title or abstract focuses on doctoral, graduate, school-level, or prospective students.",Ineligible population,88,No,,No
